Query	UserId	ChatsNum	BotAnswer	BotHelp	SysName
Добрый день! Как выплатить отпускные работнику, если сотрудник написал заявление и уходит в отпуск текущим днем?	3344070	1	0	0	gosfin
Здравствуйте. Учреждение закупило кабель. Использовали в работе. Каким документом списать такой кабель?	2891044	1	0	0	gosfin
Доброе утро. Скажите можно ли заплатить квартальную премию не всем сотрудникам, а только выборочно	3563729	1	0	0	gosfin
Добрый день! Монтаж баннера и его монтаж с какого КБК оплачивать	20898550	1	0	0	gosfin
Как отразить в бухгалтерском учете бюджетного учреждения поступление (код дохода и бухгалтерские проводки) по исполнительному листу : материальный ущерб по ГК РФ, причиненный физическим или юридическим лицам. И должно ли бюджетное учреждение вернуть эти деньги в доход бюджета, если оплата по данному гос.контракту была с КФО 6 не в текущем финансовом году?	2821285	1	0	0	gosfin
Добрый день. Подскажите как оплатить командировку в праздничный день по основному месту работы и по внутреннему совместительству	6873711	1	0	0	gosfin
Добрый день. Подскажите пожалуйста, как можно принять сотрудника по срочному трудовому договору с конкретной датой увольнения? Ситуация следующая: наша организация заключила договор на выполнение научно-исследовательских работ со сторонней организацией с конкретной датой завершения данных работ, для выполнения данных работ мы хотим принять сотрудника по срочному договору с конкретной датой увольнения, какой пукт ст. 59 ТК РФ можной применить в данном случае?	6394513	1	0	0	gosfin
"Здравствуйте! Кто в организации должен отвечать за ведение ГИС МТ ""Честный знак""?"	2092974	1	0	0	gosfin
как заключается договор на поставку продуктов питания в случае возникновения чрезвычайных ситуаций,финансирование и регистрация договора как происходит?	6844301	1	0	0	gosfin
"Бюджетное учреждение оплачивает 
коммунальные услуги в части теплоснабжения за квартиру, в которой проживает сотрудник. Далее сотрудник компенсирует оплату коммунальных услуг за нанимаемую им квартиру. Какими проводками отобразить в учете поступление в кассу и какой КПС и КЭК применять в данном случае"	2054634	1	0	0	gosfin
Здравствуйте! КВР 123 предусматривает расходы, связанные с возмещениями депутатам представительных органов субъектов, для которых деп.деятельность не является основной. И ни слова об их помощниках. В 82н тоже не нашла, на какой КВР относить выплаты помощникам депутатов. Они у нас оформлены по договорам ГПХ. Подскажите пожалуйста код вида расходов для них.	6475516	1	0	0	gosfin
Образец заполнения приказа на маршрутные листы километража для автомобилей и оформление маршрутных карт и контроля за водителями	4537041	1	0	0	gosfin
Добрый день. Какая должна быть учетная политика в казенном учреждении в 2024 году с учетом ЭДО	17698811	1	0	0	gosfin
По какому КВР бюджетному учреждению оплатить авиабилет адвокату к месту проведения судебного заседания	8477014	1	0	0	gosfin
добрый день. подскажите к какому косгу отнести демонтаж и монтаж дез.камеры. (получается с одного кабинета убрали и перенесли в другой)	8950480	1	0	0	gosfin
Добрый день. Может ли учреждение культуры (Музыкальная школа) перечислить стороннему человеку средства на выезд на мероприятие детей (билеты, гостиница) и какими НПА можно руководствоваться?	16440733	1	0	0	gosfin
