templateId	Query
543997	Здравствуйте. почему в регионах отражается Удмуртская республика?
0	может ли учредитель сдать в аренду своей компании помещение?
0	Здравствуйте. прошу ответить на вопрос. Даты сдачи отчетность при добровольной ликвидации ооо на усн в 2023году, заявление на ликвидацию зарегистрировано в ифнс 18. августа 2023г
0	"В 2020 г. была сделана неправильная проводка по Кт счета 62. В результате по Кт счета 62 образовалась сумма ""красным"". Одновременно эта-же сумма числится по Дт 007 с 2017 г."
552428	Доброй ночи. Выяснилось, что у руководителя закончилась электронная подпись. Как сдать уведомления в налоговую по ндфл и страховым взносам? И что будет, если сдать после 2 числа?
0	Доброй ночи! поменялись ли кбк по зарплатным налогам? с 1 сентября 2023 года
0	при раздельном учете прибыли по разным видам деятельности по одному виду - убыток, по другому прибыль, должны ли мы оплачивать налог на прибыль?
0	Добрый день, надо ли отражать сделку купли продажи доли в уставном капитале на федеральном ресурсе ?
0	Добрый день. Подскажите, если предприятие работает и отчитывается по средствам ТКС с применением электронной подписи, если какие-либо по этому поводу мнения по отчетности, которую должны предоставлять работодатели в военкомат?
0	Добрый день! Мы приняли товар на комиссию. подскажите как в декларации по НДС отражать все движения товара
0	Здравствуйте, ООО арендует машину у физ лица, может ли ООО застраховать по ОСАГО эту машину и эти расходы поставить себе в расходы по прибыли?
0	Добрый день ! на расчетный счет пришли деньги от физического лица за товар не понятно надо продивать чек или нет? и сколько два или один ?
0	Здравствуйте! Может ли сотрудник, находясь в учебном отпуске, работать? И как его табелировать и оплачивать рабочее время, если он работал, а справку-вызов из учебного заведения предоставил позже (сессия была в вечернее время и сотрудник работал полный день)?
0	трудовой иди гпд
0	Здравствуйте, подскажите, пжл, правомерно ли подготовить дополнительное соглашение к договору и разослать уведомления клиентам о том, что с 1.10 ИП начинает работать с НДС. Начинает выставлять НДС в связи с утратой права применения УСН. Право будет утрачено в период с 2 по 5 октября. Фактически этот факт не свершился, но точно будет. А клиенты просят уведомить заранее и согласовать доп.соглашения?
0	Добрый день! Организация зарегистрирована и ведет деятельность в кузбассе, районный коэффициент - 1,3. Наняли сотрудника на удаленку из Москвы, должны ли мы начислить районный коэффициент - 1,3?
0	Добрый день. С организацией заключили агентский договор и передали на продажу металл. Какими документами оформить передачу и как отразить в бухгалтерском учете?
507548	Добрый день! Подскажите проводки по начислению и выплате материальной помощи работающим сотрудникам. из фонда нераспределенной прибыли.
0	компенсация связи, лимиты принятия в налоговом учете
0	Доброе утро! Обязан ли работодатель - ИП вести воинский учет и представлять отчетность в военкомат?
533837	Добрый день. Вопрос. У предприятия сезонные работы, начисляется премия по итогам сезонных работ. Возможно ли начислить премию сотрудникам 30 сентября но выплата будет в декабре, потому что так написано в коллективном договоре и положении об оплате труда что у данных сотрудников выплата в декабре. Но начислить в программе необходимо именно концом сентября. Т.Е. страховые взносы с начисления платим а ндфл только в декабре при выплате выплатим. И сальдо к выплате будет висеть постоянно до декабря. Можно ли так делать? Это не будет считаться как не выплата з/платы? если она начислена но не выплаче
553100	доброе утро! На ЕСН у нас положительное сальдо мы сдали уведомление но не перечисляли и не подавали заявление на зачет какие наши действия сейчас
0	Здравствуйте, с 4 квартала текущего года переходим с УСН доходы на ОСНО, планируем до конца этого квартала оплатить авансы на товары с НДС, лучше это сделать до перехода на ОСНО или после?
0	Здравствуйте, вопрос по резерву отпусков, возникла ситуация, что сальдо по счету 96 стало дебетовым, в виду того что начисленный резерв оказался меньше, чем выплаченные отпускные, как быть в подобной ситуации?, оставить сальдо дебетовым и потом начислениями в будущем сделать его кредитовым или нужно? Речь только про бухгалтерский учет
519971	ИП применяет УСН с доходов, наёмных работников нет. Как уменьшить сумму УСН за 3 квартал 2023 на страховые взносы?
0	Подскажите пожалуйста порядок налогообложения при исполнении договора технологического присоединения
0	Добрый день!что делать если плохо пропечаталась печать в трудовой
0	Если не оплатить первую часть стоимости патента, то патент можно потерять?
0	Добрый день, у организации в собственности нежилое помещение, своими силами сделали пристройку, каким документом подтвердить расходы при УСН (доходы минус расходы), материалы приобретались организацией, смр выполняла подрядная организация.
0	Здравствуйте! Можно ли по заявлению сотрудника перечислять его заработную плату на его маму, т.к. с его карты все деньги снимают в уплату долгов?
537445	Доброе утро! Мы оплачиваем налоги платежными поручениями (по коду 02). Допустили ошибку в сумме, оплатили больше, чем нужно. Как исправить ошибку в платежном поручении/ как сделать корректировку?
0	как ответить на Решение о привлечении к ответственности и требование на оплату штрафа?
0	Добрый день, можно ли принять к авансовому отчету квитанцию за услуги эвакуатора (эвакуатор отвозил автомобиль организации на ремонт), чек не выдали, есть только квитанция с печатью исполнителя, оплачивали наличными, заказчик водитель организации. Можно ли такую квитанцию принять для авансового отчета?
0	Добрый день. Как начислять зарплату вахтовику ?
0	Добрый день! Организация покупает у физического лица киоск для ведения деятельности. Возникает ли у организации обязанность по удержанию НДФЛ и сдачи отчёта по данному физлицу?
0	Добрый день.Можно ли, чтобы предприятие выдало доверенность физ. лицу (не штатному) для получения ТМЦ?Имеет ли такая доверенность юридическую силу?По какой форме должна выдаваться данная доверенность? Может ли организация выдать на не штатного физ.лица доверенность по форме М-2а?
0	Добрый день,уважаемые эксперты! У нас вопрос такой : в 2022г.зарплата за декабрь месяц была выплачена за вторую половину 16.01.2023, в расчет 6-НДФЛ за 2022 год была включена зарплата за декабрь полностью,1-с программа так формирует.Является ли это ошибкой и следует исправлять или же нет?
0	#ОШИБКА!
505069	Здравствуйте! Как правильно снизить налог до 1% по УСН (доходы)?
0	Добрый день, у меня вопрос. Если взяли в лизинг технику, но она простаивает (не работает). Можно ли в затраты списывать лизинговые платежи? Или в бухучете можно, а в налоговом нельзя.
465572	Здравствуйте! Прошу уточнить ответственность за неиспользование ККТ при расчетах с физ.лицами
0	уточнение по вопросу №3929960 от 22.09.2023г. Учредитель не является сотрудником. Оформлен протоколом собрания учредителей. Закуплены продукты.
0	доброе утро! Нужен образец актуального договора ГПХ на оказание услуг.
0	Доброе утро. Передаем ОС , ранее оприходованные через сч 83-01-1 (Прирост ОС). Период ликвидация. Как правильно сделать проводки через счет 83-01-1? Должно ли уменьшиться по данному счету оборот? Спасибо
0	"Добрый день! 
У меня вопрос следующего характера: Экспедитор (ИП, применяющий ПСН) забирает растаможенный груз в Забайкальске, оформляет транспортную накладную и везет груз по адресу, указанному Заказчиком (Китай) на территории РФ. 
Согласно п. 11 ст. 346.43 ИП, применяющие ПСН, не признаются плательщиками НДС, за исключением НДС, подлежащего уплате: 
1) при осуществлении видов предпринимательской деятельности, в отношении которых не применяется ПСН;
2) при ввозе товаров на территорию РФ и иные территории, находящейся под ее юрисдикцией;
3) при осуществлении операций, облагаемых в соответствии"
0	Добрый день мождно ли торговать на ОЗОНЕ используя АУСН
0	Удерживается ли со степендии сотрудника проходящего профессионольную переподготовку НДФЛ
0	Здравствуйте, у меня вопрос можно написать про поездки на такси в командировке, есть ли нормы какие то в НК или судебные решения, а то у нас сотрудник ездиет на такси везде дает чеки яндекс такси или он должен написать какую то пояснительную записку, он отказывается ее писать
0	Добрый день! Просим проконсультировать по вопросу уплаты налога на сверхприбыль: чтобы воспользоваться вычетом по этому налогу в каком размере можно уплатить обеспечительный платеж до 30.11.23г.? Не обязательно оплачивать все 50%? Если мы оплатим, нпример, 20% от суммы налога до 30.11.2023г., то оставшиеся 30% когда нужно уплатить?,
410106	Добрый день. Подскажите, пожалуйста, можем ли мы принять от подотчетного лица электронный чек на покупку тмц?
0	ДОборе утро. подскажите если сотрудник потерял трудовую книжку какой документ он может предоставить для расчета стажа, для расчета больничного
519312	Добрый день,есть ли в базе системы Главбух форма документа доверенность на управление транспортным средством от имени физического лица?
486122	Добрый день! Может ли работник получивший процентный займ ч/з банк, возвращать его в кассу в пределах лимита 100000,00?
0	Добрый день,следует ли предоставить дополнительный отпуск при увольнении, если работник отработал не полностью период( год).
0	доброго дня, пжста дай те ссылку все о самозанятых, когда очитываться, когда оплачивать налоги ит.д
0	Дайте пож. перечень экспедиционных услуг
0	Доброе утро, наша компания (УСН) на стадии ликвидации. Директор - ликвидатор. Пора сдавать промежуточный бух баланс. Вопрос: когда сдавать декларацию УСН за 2023г. на стадии ликвидации и подачи промежуточной отчетности? и надо ли в декларации проставлять код отчета 50?
0	Доброе утро! Предприятие ликвидируется в упрощенном порядке, осталась только дебиторская задолженность за одним контрагентом, контрагент всю задолженность погасить не может в установленные сроки. Учредитель согласен простить данную задолженность. Как оформить прощение долга? и такое возможно? Контрагент действующий, процедур банкротства и ликвидации нет.
0	Добрый день! Вопрос: организация находится на общей системе, по агентскому договору оказывает для принципала услуги по организации перевозки. Исполнитель выставил эти услуги без ндс. Может ли организация выставить эти услуги так же без ндс принципалу ?
0	Как учитывать в бухгалтерском учете затраты (в том числе клинические исследования) на получение регистрационного удостоверения на медицинские изделия?
537727	Здравствуйте. Подскажите, нужно ли, при расчете стажа для больничного, учитывать службу в советской армии 1989-1991гг.?
0	Добрый день. Может организация отправить по почте документы на постановку в военкомате?
0	Доброе утро! Организация на ОСНО желает оказать благотворительную помощь НКО, входящей в реестр СОНКО. Какие в это случае имеются налоговые преференции по НДС и налогу на прибыль?
0	Добрый день! Подскажите, пожалуйста: организация является субъектом малого предпринимательства. В учетной политике на 2022 год принято решение не применять ПБУ 18 и не создавать резерв по отпускам. В конце 2022 года по величине выручки организация попала под обязательный аудит. Что в этом случае делать с ПБУ и резервом в 2022?
0	Доброе утро, подскажите бухгалтер по ошибке выставил реализацию в 1 кв и указал Без НДС(хотя организация на ОСНО, ошибся в выборе ставки НДС). Соответственно в 1 кв 2023 счет-фактура по этой реализации не отражена в книге продаж. Бухгалтер в 3 кв 2023 сделала корректировку реализации. Как отразить эти корректировки в декларации по НДС и в каком периоде?
0	Здравствуйте! При увольнении сотрудника на испытательном сроке (проработал месяц) полагаются ли сотруднику компенсация за неиспользованный отпуск?
0	Доброе утро! Пришло два судебных приказа, без указания % удержания (только сумма задолженности) и исполнительный лист на 50% удержания из зарплаты. Как определить сколько % удерживать по каждому удержанию? Спасибо.
0	Добрый день! ООО на УСН доход 6% за сентябрь страховые взносы оплатили в сентябре то есть пополнили ЕНС, для того чтобы уменьшить на 50% налог по УСН за 3 квартал. Вопрос: Нужно ли подавать КНД 1150057. Заявление о распоряжении путем зачета суммой денежных средств, формирующих положительное сальдо единого налогового счета налогоплательщика, плательщика сбора, плательщика страховых взносов и налогового агента
0	Здравствуйте! Мне необходим образец платежного поручения на перечисление НДФЛ с дивидендов по статус 01.
0	Здравствуйте! В июне 2023 директор ООО стал единственным учредителем. Трудовой договор с ним не был расторгнут. Начислялась и выплачивалась зарплата. Насколько это правильно и какие последствия могут быть?
0	Добрый день, подскажите пож ответ. Мы , ООО, ОСНО. Заключили договор с ИП на оказание услуг по ведению бухгалтерского и налогового учета. В договоре прописаны 16 пунктов на виды работ и стоимость услуг 50000 в месяц. Вопрос: В акте на оказанные услуги обязательно расписывать виды работ или можно одним выражением указать, например, Бухгалтерские услуги за такой то месяц по такому то договору ,сумма 50000.?
0	Организация применяет ОСНО. При переходе на ЕНС обнаружилась переплата организации по налоговой пени старше 3-х лет. Можно ли для целей налога на прибыль учитывать во внереализационных расходах данную сумму переплаты?
502136	Доброе утро! Прошу прислать журнал учета ТО и ремонта автотранспортных средств
0	Добрый день. Можно ли Индивидуальному предпринимателю закрыть действие патента до истечения срока его действия.?
0	Добрый день! Подскажите, пожалуйста, может ИП на патенте сдавать в субаренду помещение? И еще - может ИП на патенте осуществлять услугу по доставке продуктов питания, если у него магазин розничной торговли.
534365	Добрый день. Иностранные сотрудники не предупредив об отъезде, пересекли границу. Как их уволить без нарушений?
0	добрый день! ПРИБЫЛЬ расходы на услуги нотариуса за свидетельствование подлинности подписи на банковской карточке
0	здравствуйте, подскажите, нужно ли включат в персонифицированные сведения данные о физлице у которого по договору гпх арендуеться автомобиль
0	оплата по QR коду, какие документы должны выдаваться. Сотрудник оплатил по QR коду, какие документы он должен предоставить бухгалтерии, чтобы отчитаться по подотчетным суммам?
0	Может ли работодатель сам проводить обучение сотрудника, стоимость которого сотрудник обязуется компенсировать в случае досрочного увольнения? Какие документы нужны работодателю для подтверждения таких расходов на обучение?
0	добрый день . когда надо платить ндфл на АУСН и на УСН ? до какого числа ?
0	"Добрый день, удаленному работнику выплатили компенсацию при удаленной работе НДФЛ и ВЗНОСАМИ данная выплата не облагается. Подскажите, должны мы эту сумму показать в отчете ""Персонифицированные сведения о физ. лицах и РСВ""?"
0	Добрый день. У компании (А) оформлены договора с перевозчиками. Далее она заключает договор, по которому выступает агентом и обязуется от имени и за счет принципала осуществалять услуги по доставке. Обязана ли компания А заключить новые договора с перевозчиками или может работать по уже заключенным для оказания услуг по агентскому договору?
552432	Здравствуйте! По какой форме нужно сдавать уведомление 25.09.23 года? Изменилась ли она? И можно образцы заполнения для ЕНП и НДФЛ , сдаваемые 25.09.23
550205	Добрый день. Какие отчеты нужно сдавать по воинскому учету с 1 октября 2023
0	"Добрый день. Подскажите, пожалуйста. Подотчетник сдал чек, в котором не прописана услуга, а просто написано ""приход"", но в чеке указана гостиница. При проверке чека в ИФНС стоит статус ""чек получен"". Может ли бухгалтер принять такой чек?"
0	Доброе утро. Ликвидация МУП, передача основного средства без реализации собственнику. Как правильно отразить исчисленную амортизацию, с использованием какого счета?
0	платят ли страховые взносы за сотрудников полиции
0	Добрый день. Надо ли сдавать воинский учет по сотрудникам работающим на 0,5 ставки?
0	типовые проводки по основным средствам
503982	Добрый день! Предприятие находится на УСН (Д-Р). Регион Свердловская область. В соответствии с региональным законодательством предприятие платило в 1 квартале налог по ставке 5%, затем по полугодию был превышен лимит и был налог по ставке 7%. По итогам года доходы-расходы превысили 150 000 000 руб. В региональном законе эта ситуация не прописана. Что, по итогам года платить налог по ставке 20 % ?
0	Добрый день! Прошу ответить письменно на вопрос. У сотрудницы родился ребенок. Для получения единовременного пособия при рождении ребенка, какие нужно получить справки от супруга (отца ребенка) если он самозанятый?
482196	Добрый день! Будет ли исчисляться НДС с межценовой разницы, если ООО приобрело автомобиль для перепродажи у гражданина Казахстана?
0	Проводки по основным средствам
483030	Добрый день. Подскажите, как правильно оформить помощь мобилизованному сотруднику. Закупаем оборудование.
559077	Здравствуйте! Командировка в тот же город возможна ли?
0	подскажите, сколько % оплачивать б/л стаж 7 лет по уходу за ребенком до 7 лет
0	Добрый день, хотела отметить Ольга, что вы некачественно подобрали ответ на мой вопрос, касаемый ИП по уплате имущественных налогов, предоставив ссылку, вы не внимательно читаете вопрос. Только обратившись второй раз другой консультант письменно и качественно все ответила. Ее ответ прямопротивоположный тому ,что вы мне подобрали.
0	здравствуйте ! Предприятие планирует заключить договор безвозмездных услуг с Китайцем . гражданин Китая будет работать на территории КИТАЯ (не в РОССИИ) какие налоги будет платить организация РФ???
556054	Добрый день! Предприятие на осно дарит транспортное средство физ.лицу в договоре дарения сумму подарка указываем вместе с НДС ?
0	Доброе утро. При ликвидации организации ООО, остаток денежных средств по расчетному счету учредитель решил перевести индивидуальному предпринимателю безвозмездно. Не противоречит закону и НК, перевод остатка денежных средств ИП безозмездно?
539330	Добрый день! Подскажите пожалуйста, надо ли платить 13% НДФЛ с продажи квартиры, которая в собственности была менее 3-х лет, стоимостью 2,7 млн. Если стоимость покупки и продажи одна и та же?
0	Добрый день. Сотрудник ООО (он же участник ООО) меняет адрес регистрации места жительства. Нужно ли об этом уведомлять какие-либо органы (ФНС, СФР и т.д.)?
0	Добрый день. Вопрос. Согласно Трудовому Кодексу понятий ни рабочая инструкция, ни должностная инструкция нет. Есть трудовая функция. Что правильно составлять на рабочих — должностная инструкция или рабочая?
0	Здравствуйте , физическое лиц вступило в наследство на квартиру и сразу продает ее какой ндфл в этом случае заплатит физлицо?
0	Здравствуйте. Инд.предприниматель на УСН (Доходы минус расходы). Хотим купить автомобиль у физ.лица для использования предпринимательской деятельности. Можно нам поставить потом эту покупку транспортного средства в расход?
454118	Здравствуйте! ИП меняет прописку на другой регион. ИП -работодатель. Каких изменений ждать?, учет в новой налоговой, как платить взносы, налоги?
0	Добрый день! Общество заключает договор аренды жилого помещения с ИП. ИП владеет помещением на праве совместной собственности с женой. Необходимо ли в данной ситуации согласие жены?
457852	Добрый день, подскажите клиентку отгрузили продукцию с браком, какие варианты по возврату есть?
0	здравствуйте, ооо купила земельный участок в сентябре 2023 с какого месяца должны считать земельный налог и когда подавать первое уведомление
556921	Добрый день. Обязаны ли организации и ИП — субъекты МСП применять пониженный тариф страховых взносов, в части выплат физлицу свыше МРОТ, для выплат по договорам ГПХ?
0	Доброе утро, насколько точно должны быть указаны данные в разделе 3 и 4 в Транспортных накладных. В наших указано: ТНП (товары народного потребления). Для ГИБДД этого достаточно, а для налоговой?
0	в чем может быть риск если я живу в Москве но ИП мое в Чечне где плачу 1 % по УСН. Все отгрузки делаю в Москве
0	Добрый день ! возмещение ущерба при УСНО влючать в доходы?
0	Здравствуйте! Если сотрудник уволен 6 месяцев назад, пришел больничный от СФР пришел больничный. Обязаны ли мы выплатить больничный этому сотруднику?
0	Добрый день. ООО на ОСНО.Комиссию за досрочное погашение кредита можно принять в налоговом учете?
