Query	UserId	ChatsNum	Answers	Helps
Возможно ли перевести сотрудника от ИП к ИП	1907850	1	0	0
Здравствуйте!Есть ли какие то правила по оплате больничного листа,если с работником заключен срочный трудовой договор?	185845	1	0	0
может ли директор передавать свою карту (именная, привязана к р/с компании) другому сотруднику, и требовать оформления авансового отчета на сотрудника, а не на директора (по банковской выписке оплаты проходят с назначением платежа ФИО директора)	310823	1	0	0
"Можно ли премию выплаченную за счёт нераспределенной прибыли прошлых лет учесть в расходах при УСН ""доходы минус расходы""?"	4685906	1	0	0
Добрый день!	18310547	1	0	0
Добрый день. Подскажите КБК для уплаты утилизационного сбора на таможню по колесным транспортным средствам	4637599	1	1	1
командировка в тот же город	11625465	1	1	1
Здравствуйте. Вопрос- Организация оплатила услуги по договору с самозанятым через расчетный счет ,а он на этот платеж предоставил несколько чеков. Провильно ли он сделал? Или он должен был предоставить один чек на одно поступление денежных средств?	649571	1	0	0
это в случае, если в период применения УСН ОС учтены в течение года (по правилам учета ОС на УСН), а если нет, если они учитывались через амортизацию, можем ли мы при переходе продолжать так же амортизировать?	18310547	1	0	0
Как рассчитать стоимость чистых активов по инструкции Гос.банка?	251882	1	0	0
"Добрый день! \
Ситуация такая: при выставлении УПД контрагенту за услуги, номер УПД и номер счет-фактуры не совпадают. (Хотя по виду деятельности наша организация работает БЕЗ НДС.)
При исправлении каких-либо изменений используем УКД, и вот в УКД берет номер счет-фактуры, а не самой реализации. Получается так, что номера не совпадают, и как доказать, что это исправление именно той УПД?"	20124586	1	0	0
Изменения октябрь	16073467	1	0	0
если плачу по статусу 02 уведомление нужно подавать?	20538524	1	0	0
Здравствуйте, чем руководствоваться при заполнении путевого листа легкового автомобиля. согласно приказа директора, путевой составляем раз в месяц по окончании. В маршруте движения необходимо заполнять адрес, а надо ли заполнять название организации или пункт, куда ездил автомобиль по указанному адресу?	139222	1	0	0
Добрый день! Подскажите пожалуйста учредитель физ. лицо (100%) может взять займ беспроцентный себе и предоставить работникам.	13898812	1	0	0
Добрый день! По агентским договорам с физическими лицами нужно организации подавать ЕФС-1?	532675	1	0	0
"Добрый день! Подскажите пожалуйста обязательно ли проводить внесение средств на корпоративную карту через 50 счет? Карта оформлена на генерального директора, привязана к р/с. Взнос - это внесение займа. Договор займа заключен между ООО и генеральным директором. В банковской выписке отражено: ""Внесение наличных средств через устройства
самообслуживания. Прочие поступления"". Возможно ли сразу сделать проводку Дт 51 Кт 67 и не оформлять ПКО и РКО?"	20266184	1	0	0
Добрый день, при реализации протравленных семян кукурузы и подсолнечника какой ндс?	5046800	1	0	0
По какой ставке НДС реализуется жир технический из рыбы?	16121623	1	0	0
добрый день, есть в системе ответы на требование от ИФНС, о том что ИП переводил деньги сос чета себе по зарплатному проекту, и как ответить если у него наемных работников нет, а кассы работали в 2022 году?	3822473	1	0	0
Добрый день! Принимаем на работу иностранного гражданина. Каким образом учитывать северный и районный коэффициенты при расчете ЗП?	20284955	1	0	0
Добрый день! мы перечислили на корпоративную карту директора (выданную на его имя) денежные средства в сумме 74т.руб. для снятия их на выдачу заработной платы.Он снял 73т.руб, внёс в кассу. Осталась на карте 1тыс.руб. На эти деньги он заправился когда поехал в ко мандировку.Подскажите какие проводки мне сделать	18691091	1	0	0
на расчетном счете учреждения в конце года остались целевые денежные средства, облагаются ли они налогом	3507520	1	0	0
Здравствуйте! Менялась ли форма декларации НДС за 3 кв 2023?	853417	1	0	0
